iter	Passed	Remaining
0	1	124
1	1	97
2	2	88
3	3	84
4	4	82
5	5	80
6	5	78
7	6	78
8	7	79
9	8	79
10	9	79
11	10	77
12	11	75
13	12	74
14	12	73
15	13	71
16	14	69
17	14	68
18	15	66
19	16	66
20	17	64
21	18	64
22	19	63
23	20	63
24	21	63
25	21	62
26	22	61
27	23	60
28	24	60
29	25	59
30	26	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	35	44
44	36	44
45	36	43
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
